frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065134.313069313","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.346016457","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.358032648","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.358720144","127.0.0.1","127.0.0.1","57668","34719","184","0x0018"
"1784065134.359004782","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.359031549","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.375051128","127.0.0.1","127.0.0.1","34719","57662","247","0x0018"
"1784065134.375068897","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.376261799","127.0.0.1","127.0.0.1","57668","34719","282","0x0018"
"1784065134.377014304","127.0.0.1","127.0.0.1","34719","57668","155","0x0018"
"1784065134.377743704","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065134.381174567","127.0.0.1","127.0.0.1","34719","57662","209","0x0018"
"1784065134.381190475","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.418008348","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065134.418018487","127.0.0.1","127.0.0.1","57668","34719","188","0x0018"
"1784065134.418034645","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065134.419285580","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784065134.462114316","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.464704889","127.0.0.1","127.0.0.1","34719","57668","83","0x0018"
"1784065134.464782754","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.808627522","127.0.0.1","127.0.0.1","34719","57662","234","0x0018"
"1784065134.808700618","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.811881407","127.0.0.1","127.0.0.1","57668","34719","269","0x0018"
"1784065134.813794878","127.0.0.1","127.0.0.1","34719","57668","155","0x0018"
"1784065134.813817771","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.815389337","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065134.858264994","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065134.882624014","127.0.0.1","127.0.0.1","57662","34719","342","0x0018"
"1784065134.884570202","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784065134.884601000","127.0.0.1","127.0.0.1","57662","34719","136","0x0018"
"1784065134.886125858","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065134.886759548","127.0.0.1","127.0.0.1","57662","34719","345","0x0018"
"1784065134.888283328","127.0.0.1","127.0.0.1","34719","57662","326","0x0018"
"1784065134.890637565","127.0.0.1","127.0.0.1","57662","34719","542","0x0018"
"1784065134.891930618","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784065134.893033575","127.0.0.1","127.0.0.1","57662","34719","548","0x0018"
"1784065134.894339037","127.0.0.1","127.0.0.1","34719","57662","380","0x0018"
"1784065134.896788584","127.0.0.1","127.0.0.1","57662","34719","602","0x0018"
"1784065134.898165202","127.0.0.1","127.0.0.1","34719","57662","282","0x0018"
"1784065134.899174944","127.0.0.1","127.0.0.1","57662","34719","608","0x0018"
"1784065134.900473783","127.0.0.1","127.0.0.1","34719","57662","318","0x0018"
"1784065134.942044419","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065253.515556929","172.18.203.227","185.125.190.57",,,"92",
"1784065253.705374364","127.0.0.1","127.0.0.1","57662","34719","233","0x0018"
"1784065253.705416978","127.0.0.1","127.0.0.1","57668","34719","156","0x0018"
"1784065253.705441314","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065253.706881354","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065253.707069856","127.0.0.1","127.0.0.1","34719","57662","896","0x0018"
"1784065253.707087764","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065253.708664137","127.0.0.1","127.0.0.1","57662","34719","261","0x0018"
"1784065253.709041885","127.0.0.1","127.0.0.1","34719","57662","950","0x0018"
"1784065253.725972655","127.0.0.1","127.0.0.1","57662","34719","230","0x0018"
"1784065253.725977801","127.0.0.1","127.0.0.1","57668","34719","183","0x0018"
"1784065253.727308906","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065253.727533305","127.0.0.1","127.0.0.1","34719","57662","890","0x0018"
"1784065253.728590007","127.0.0.1","127.0.0.1","57662","34719","288","0x0018"
"1784065253.729960684","127.0.0.1","127.0.0.1","34719","57662","1004","0x0018"
"1784065253.730905728","127.0.0.1","127.0.0.1","57662","34719","235","0x0018"
"1784065253.732383415","127.0.0.1","127.0.0.1","34719","57662","900","0x0018"
"1784065253.733429799","127.0.0.1","127.0.0.1","57662","34719","223","0x0018"
"1784065253.734812620","127.0.0.1","127.0.0.1","34719","57662","876","0x0018"
"1784065253.735720017","127.0.0.1","127.0.0.1","57662","34719","229","0x0018"
"1784065253.736975959","127.0.0.1","127.0.0.1","34719","57662","175","0x0018"
"1784065253.753439190","127.0.0.1","127.0.0.1","57668","34719","135","0x0018"
"1784065253.754826969","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065253.764414229","185.125.190.57","172.18.203.227",,,"92",
"1784065135.314739273","127.0.0.1","127.0.0.1","57668","34719","147","0x0018"
"1784065135.314746055","127.0.0.1","127.0.0.1","57662","34719","247","0x0018"
"1784065135.316103658","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065135.316235926","127.0.0.1","127.0.0.1","34719","57662","924","0x0018"
"1784065135.328610262","127.0.0.1","127.0.0.1","57668","34719","209","0x0018"
"1784065135.330124733","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065135.342251715","127.0.0.1","127.0.0.1","57668","34719","141","0x0018"
"1784065135.342294804","127.0.0.1","127.0.0.1","57662","34719","241","0x0018"
"1784065135.342437426","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065135.343765176","127.0.0.1","127.0.0.1","34719","57662","912","0x0018"
"1784065135.356201208","127.0.0.1","127.0.0.1","57668","34719","198","0x0018"
"1784065135.357494933","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065135.387433447","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
